month_start,avg_riders
2017-01-01,925
2017-02-01,964
2017-03-01,936
2017-04-01,924
2017-05-01,921
2017-06-01,930
2017-07-01,890
2017-08-01,913
2017-09-01,986
2017-10-01,973
2017-11-01,884
2017-12-01,809
2018-01-01,928
2018-02-01,958
2018-03-01,943
2018-04-01,1001
2018-05-01,991
2018-06-01,990
2018-07-01,899
2018-08-01,953
2018-09-01,1003
2018-10-01,1001
2018-11-01,912
2018-12-01,843
2019-01-01,942
2019-02-01,1024
2019-03-01,948
2019-04-01,986
2019-05-01,1012
2019-06-01,939
2019-07-01,993
2019-08-01,982
2019-09-01,1037
2019-10-01,956
2019-11-01,855
2019-12-01,841
2020-01-01,979
2020-02-01,951
2020-03-01,534
2020-04-01,114
2020-05-01,133
2020-06-01,160
2020-07-01,143
2020-08-01,145
2020-09-01,130
2020-10-01,140
