date,avg_riders
2017-01-07,3764
2017-01-08,2722
2017-01-20,5764
2017-02-04,4498
2017-02-05,3218
2017-02-20,6589
2017-03-04,3654
2017-03-05,2873
2017-03-23,6163
2017-04-08,4829
2017-04-09,3536
2017-04-20,6350
2017-05-06,4362
2017-05-07,3239
2017-05-22,6049
2017-06-03,4287
2017-06-04,3195
2017-06-22,5854
2017-07-08,4062
2017-07-09,3215
2017-07-20,5799
2017-08-05,4626
2017-08-06,3449
2017-08-23,6160
2017-09-02,5592
2017-09-03,4258
2017-09-20,7108
2017-10-07,5253
2017-10-08,3746
2017-10-23,6932
2017-11-04,4135
2017-11-05,3240
2017-11-21,6549
2017-12-02,3939
2017-12-03,2787
2017-12-20,5627
2018-01-06,3511
2018-01-07,2750
2018-01-22,5656
2018-02-03,4918
2018-02-04,3519
2018-02-20,6703
2018-03-03,4366
2018-03-04,3152
2018-03-22,6254
2018-04-07,5054
2018-04-08,3767
2018-04-20,6743
2018-05-05,4734
2018-05-06,3324
2018-05-22,6152
2018-06-02,4186
2018-06-03,2851
2018-06-21,5803
2018-07-07,4340
2018-07-08,3081
2018-07-20,5923
2018-08-04,4704
2018-08-05,3860
2018-08-23,6369
2018-09-01,5413
2018-09-02,4118
2018-09-19,7206
2018-10-06,4998
2018-10-07,4081
2018-10-23,6963
2018-11-03,4597
2018-11-04,3159
2018-11-21,6537
2018-12-01,3994
2018-12-02,2959
2018-12-20,5483
2019-01-05,4071
2019-01-06,3151
2019-01-22,5715
2019-02-02,4528
2019-02-03,3514
2019-02-20,6512
2019-03-02,4138
2019-03-03,3128
2019-03-21,6138
2019-04-06,4867
2019-04-07,3598
2019-04-22,6483
2019-05-04,4624
2019-05-05,3366
2019-05-22,6138
