route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,avg_riders,day_count
1,1,1 - FREEPORT ROAD,Ross,Bus,2017-01-01,201701,SAT.,970,4
4,4,4 - TROY HILL,Ross,Bus,2017-01-01,201701,SAT.,218,4
6,6,6 - SPRING HILL,Ross,Bus,2017-01-01,201701,SAT.,496,4
8,8,8 - PERRYSVILLE,Ross,Bus,2017-01-01,201701,SAT.,1480,4
11,11,11 - FINEVIEW,Ross,Bus,2017-01-01,201701,SAT.,208,4
12,12,12 - MCKNIGHT,Ross,Bus,2017-01-01,201701,SAT.,1070,4
13,13,13 - BELLEVUE,Ross,Bus,2017-01-01,201701,SAT.,1253,4
14,14,14 - OHIO VALLEY,Ross,Bus,2017-01-01,201701,SAT.,478,4
15,15,15 - CHARLES,Ross,Bus,2017-01-01,201701,SAT.,672,4
16,16,16 - BRIGHTON,Ross,Bus,2017-01-01,201701,SAT.,2070,4
17,17,17 - SHADELAND,Ross,Bus,2017-01-01,201701,SAT.,499,4
21,21,21 - CORAOPOLIS,Collier,Bus,2017-01-01,201701,SAT.,480,4
22,22,22 - MCCOY,Collier,Bus,2017-01-01,201701,SAT.,424,4
24,24,24 - WEST PARK,Collier,Bus,2017-01-01,201701,SAT.,1128,4
26,26,26 - CHARTIERS,Collier,Bus,2017-01-01,201701,SAT.,504,4
27,27,27 - FAIRYWOOD,Collier,Bus,2017-01-01,201701,SAT.,634,4
28X,028X,28X - AIRPORT FLYER,East Liberty,Bus,2017-01-01,201701,SAT.,1340,4
31,31,31 - BRIDGEVILLE,Collier,Bus,2017-01-01,201701,SAT.,768,4
38,38,38 - GREEN TREE,Collier,Bus,2017-01-01,201701,SAT.,333,4
39,39,39 - BROOKLINE,Collier,Bus,2017-01-01,201701,SAT.,182,4
40,40,40 - MOUNT WASHINGTON,Collier,Bus,2017-01-01,201701,SAT.,216,4
41,41,41 - BOWER HILL,Collier,Bus,2017-01-01,201701,SAT.,464,4
43,43,43 - BAILEY,Collier,Bus,2017-01-01,201701,SAT.,279,4
