route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,avg_riders,sum_ridership,day_count
59,59,59 - MON VALLEY,West Mifflin,Bus,2017-01-01,201701,SAT.,1641,,4
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-01-04,201701,SAT.,3764,,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2017-01-01,201701,SUN.,1007,,5
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-01-05,201701,SUN.,2722,,5
59,59,59 - MON VALLEY,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,1835,,22
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-01-22,201701,WEEKDAY,5764,15092,22
59,59,59 - MON VALLEY,West Mifflin,Bus,2017-02-01,201702,SAT.,1882,,4
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-02-04,201702,SAT.,4498,,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2017-02-01,201702,SUN.,1229,,4
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-02-05,201702,SUN.,3218,,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2017-02-01,201702,WEEKDAY,1950,,20
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-02-20,201702,WEEKDAY,6589,17484,20
59,59,59 - MON VALLEY,West Mifflin,Bus,2017-03-01,201703,SAT.,1706,,4
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-03-04,201703,SAT.,3654,,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2017-03-01,201703,SUN.,1120,,4
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-03-05,201703,SUN.,2873,,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2017-03-01,201703,WEEKDAY,1946,,23
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-03-23,201703,WEEKDAY,6163,15756,23
59,59,59 - MON VALLEY,West Mifflin,Bus,2017-04-01,201704,SAT.,1860,,5
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-04-05,201704,SAT.,4829,,5
59,59,59 - MON VALLEY,West Mifflin,Bus,2017-04-01,201704,SUN.,1240,,5
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-04-06,201704,SUN.,3536,,5
59,59,59 - MON VALLEY,West Mifflin,Bus,2017-04-01,201704,WEEKDAY,2066,,20
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-04-20,201704,WEEKDAY,6350,18021,20
59,59,59 - MON VALLEY,West Mifflin,Bus,2017-05-01,201705,SAT.,1961,,4
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-05-04,201705,SAT.,4362,,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2017-05-01,201705,SUN.,1251,,5
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-05-05,201705,SUN.,3239,,5
